id,rating,tournaments,champions,championNext
113,2104,0,0,1
114,2056,1,0,0
115,1994,1,0,0
116,2974,0,0,1
117,1543,0,0,0
118,2054,0,0,1
119,446,1,0,0
120,1676,0,0,1
121,1108,0,0,0
122,626,1,0,1
123,1005,0,0,0
124,1708,0,0,1
125,1753,0,0,1
126,1869,0,1,1
127,2058,0,0,1
128,2652,0,0,0
129,1351,1,1,1
130,2939,0,0,1
131,1498,0,0,0
132,1385,0,0,1
133,456,0,0,0
134,794,0,0,0
135,590,2,0,0
136,1624,0,0,1
137,2945,0,1,1
138,703,1,0,0
139,2601,0,0,1
140,2366,2,0,1
141,2778,0,0,1
142,2444,1,0,1
143,2586,1,0,0
144,1290,0,0,1
145,1233,0,1,0
146,749,1,1,0
147,1790,0,1,1
148,1660,0,1,0
149,1675,0,0,0
150,1525,0,0,0
151,2775,0,0,1
152,2821,0,0,1
153,1457,0,0,0
154,2334,1,0,1
155,445,0,0,1
156,1735,0,1,1
157,1558,1,1,0
158,2783,0,1,1
159,2388,0,0,1
160,2228,0,1,1
161,2371,0,1,1
162,2568,0,0,1
163,1713,0,1,1
164,1855,1,0,1
165,2063,0,0,0
166,539,0,1,0
167,2121,0,0,1
168,1960,0,0,1
169,1419,4,4,1
170,2268,1,0,1
171,1065,0,0,0
172,2796,0,1,1
173,642,0,0,1
174,647,0,1,1
175,2686,3,3,1
176,1398,1,1,1
177,1872,0,0,1
178,851,0,1,1
179,1435,0,0,0
180,1835,1,1,1
181,2725,0,0,1
182,2917,1,1,1
183,701,2,0,1
184,1823,0,0,1
185,1435,1,0,0
186,1748,0,0,1
187,1544,0,0,1
188,1898,1,0,1
189,2560,1,1,1
190,1401,0,0,1
191,1431,0,1,1
192,1603,1,0,1
193,2453,0,0,1
194,1180,0,0,0
195,2132,0,0,1
196,2814,0,0,1
197,2409,0,0,1
198,1443,0,0,1
199,804,0,0,0
200,2441,1,0,1
201,2570,0,0,1
202,421,0,0,0
203,479,0,0,0
204,994,2,0,1
205,1230,1,1,0
206,717,0,1,0
207,1916,0,0,1
208,1681,2,2,1
209,2439,0,1,1
210,1357,0,0,1
211,951,1,0,0
212,1476,0,1,1
213,1159,0,0,1
214,1836,0,0,1
215,411,1,1,0
216,1880,1,0,0
217,898,0,0,0
218,1335,1,0,0
219,1071,0,1,0
220,2789,0,0,0
221,974,1,1,0
222,2466,1,0,1
223,2888,1,0,1
224,596,0,0,0
225,1481,0,1,0
226,2786,0,0,1
227,1896,1,1,1
228,1771,1,0,1
229,1994,1,0,1
230,2347,6,6,1
231,1356,0,0,1
232,1543,0,0,1
233,1816,0,0,0
234,832,1,0,0
235,689,0,0,0
236,2490,0,0,1
237,766,0,0,0
238,726,0,0,0
239,578,0,0,0
240,560,0,1,1
241,811,0,0,0
242,2007,1,1,1
243,1611,0,0,0
244,2055,0,0,1
245,497,0,0,0
246,1684,0,0,0
247,2725,0,0,1
248,602,0,0,0
249,1495,1,1,1
250,2629,1,0,1
251,468,0,0,0
252,1866,0,0,1
253,1381,1,0,0
254,2977,1,0,1
255,1916,0,1,1
256,2959,0,0,1
257,1034,1,0,1
258,2914,0,1,1
259,2084,0,0,0
260,993,3,3,0
261,2353,1,0,1
262,959,0,0,0
263,552,1,1,1
264,1680,0,0,0
265,1522,0,0,0
266,2103,0,1,1
267,2509,0,0,1
268,2859,0,0,1
269,2329,0,1,0
270,2478,0,0,1
271,2087,0,0,1
272,2344,0,0,1
273,948,1,0,1
274,1771,0,0,1
275,1892,0,0,1
276,1744,0,0,1
277,700,1,0,0
278,1692,2,2,1
279,2450,1,0,1
280,1217,0,0,1
281,2097,0,1,0
282,2672,0,0,1
283,2427,0,0,1
284,486,1,0,0
285,1481,0,1,0
286,2425,0,1,0
287,1972,1,0,1
288,1648,0,1,0
289,454,0,0,0
290,743,0,0,0
291,1395,0,2,0
292,1029,0,0,1
293,2607,0,0,1
294,761,1,0,1
295,906,0,0,0
296,1083,0,0,0
297,808,0,0,0
298,1963,0,0,1
299,1403,0,0,0
300,459,0,1,0
301,2666,0,0,1
302,2860,0,0,1
303,1224,0,0,1
304,2580,0,0,0
305,1494,0,0,1
306,2316,2,0,1
307,715,0,0,0
308,2061,1,0,0
309,2404,0,1,1
310,1216,0,0,0
311,2777,1,0,1
312,2033,0,0,1
313,1751,2,2,0
314,774,0,0,0
315,1385,0,0,1
316,2373,0,1,1
317,658,0,0,1
318,1504,1,0,1
319,803,0,0,1
320,1342,0,0,0
321,2139,2,0,1
322,2145,2,2,1
323,549,0,0,0
324,1806,1,0,0
325,2734,0,0,1
326,1649,0,0,1
327,1528,0,0,0
328,593,0,0,0
329,1049,3,3,1
330,1239,0,0,0
331,2955,1,1,1
332,552,0,0,0
333,2738,0,0,1
334,2363,1,0,1
335,2199,0,0,1
336,726,0,0,0
337,455,0,0,0
338,2602,0,0,1
339,1791,0,0,0
340,747,1,0,0
341,2124,0,0,0
342,911,0,0,0
343,863,0,0,0
344,1654,0,0,1
345,2441,2,2,1
346,1860,0,0,1
347,2213,0,0,1
348,993,0,0,1
349,2978,1,0,1
350,1451,0,0,0
351,1118,1,0,0
352,1588,0,2,1
353,2671,0,0,1
354,1334,0,1,1
355,1718,0,0,1
356,1927,0,1,1
357,2935,1,0,1
358,1640,1,0,0
359,2766,0,0,1
360,2232,0,0,1
361,1407,1,1,1
362,1265,0,0,1
363,1550,0,0,0
364,551,0,0,0
365,2409,2,0,1
366,2186,0,0,1
367,977,1,0,0
368,2475,0,1,1
369,1516,1,0,0
370,1821,0,0,1
371,2118,0,0,0
372,802,0,1,1
373,2878,0,0,1
374,2006,0,0,0
375,2811,0,1,1
376,1946,0,1,1
377,2662,0,0,1
378,1604,0,0,1
379,905,0,0,0
380,2839,0,0,1
381,2894,0,1,1
382,471,1,0,1
383,648,0,0,1
384,2155,0,0,1
385,452,0,0,0
386,1862,0,0,0
387,1224,1,1,1
388,700,1,0,1
389,2351,0,0,1
390,1484,0,0,1
391,1589,0,0,0
392,1064,0,1,0
393,704,0,0,0
394,1711,0,0,0
395,2321,0,1,1
396,2392,1,0,0
397,1387,0,0,1
398,924,0,0,1
399,1198,0,0,0
400,2281,0,1,0
401,2673,0,1,1
402,1963,0,0,1
403,958,0,0,1
404,2226,0,4,1
405,2156,0,0,0
406,1393,1,0,0
407,1361,1,0,0
408,1043,0,1,0
409,850,0,0,0
410,1110,0,0,0
411,1141,0,0,0
412,2942,1,0,1
413,1806,0,0,0
414,2816,0,0,1
415,1605,0,0,0
416,2546,1,0,0
417,877,1,0,0
418,743,0,2,0
419,2997,1,1,1
420,2739,0,0,1
421,1977,0,0,1
422,2350,1,0,1
423,760,1,0,0
424,2118,0,0,1
425,1213,1,0,0
426,1522,1,0,1
427,1525,0,0,0
428,1023,2,0,1
429,1870,1,1,1
430,503,0,0,0
431,894,0,1,0
432,1066,0,0,1
433,1300,0,0,0
434,1126,0,0,0
435,969,1,0,0
436,2245,1,0,1
437,1650,0,0,1
438,1571,0,0,0
439,1138,0,1,0
440,1330,0,0,0
441,1309,0,0,1
442,2133,0,0,1
443,642,0,0,0
444,1963,0,0,0
445,2098,2,2,1
446,1567,1,0,1
447,2773,1,0,1
448,2055,1,0,1
449,2638,1,0,1
450,1199,0,0,0
451,1778,0,0,1
452,1292,0,0,0
453,1213,1,1,0
454,2704,0,0,1
455,865,0,0,0
456,686,0,0,0
457,2632,1,1,1
458,1551,0,0,1
459,918,0,1,1
460,2761,0,0,1
461,872,0,0,0
462,761,1,0,0
463,1063,0,0,1
464,1230,0,0,1
465,1622,0,1,1
466,2828,0,0,1
467,1949,1,0,1
468,2181,1,0,1
469,676,0,1,1
470,1088,0,0,0
471,967,0,0,0
472,2041,1,1,1
473,1063,0,0,1
474,1732,0,0,0
475,2638,0,0,0
476,658,1,1,1
477,2674,0,2,1
478,2882,0,0,1
479,2597,0,0,0
480,1324,0,0,0
481,521,1,0,0
482,1012,0,0,0
483,1390,0,1,1
484,2220,0,0,0
485,521,0,0,0
486,1782,0,1,1
487,809,0,2,0
488,1518,0,0,1
489,1997,0,0,0
490,402,1,0,0
491,1989,0,0,0
492,760,0,1,1
493,886,0,0,0
494,1807,0,0,1
495,908,0,0,0
496,602,0,0,0
497,2959,0,0,1
498,2427,1,0,1
499,2771,0,1,1
500,1330,1,0,1
501,2687,0,1,1
502,2605,0,1,1
503,493,0,0,0
504,2959,0,0,1
505,2153,0,0,1
506,445,0,0,0
507,742,1,0,0
508,1345,0,0,1
509,2693,0,0,1
510,2799,1,0,1
511,1938,0,0,0
512,1241,0,0,1
513,1752,0,0,1
514,2574,0,1,1
515,2479,0,0,0
516,2398,0,0,1
517,1502,0,0,0
518,1533,0,1,0
519,817,0,0,0
520,2539,1,0,1
521,479,0,0,0
522,953,0,0,1
523,1154,0,1,1
524,2330,0,1,1
525,2710,1,0,1
526,2637,0,0,1
527,2499,0,1,1
528,885,0,0,1
529,1273,0,0,1
530,2085,0,0,0
531,1994,0,0,1
532,2091,1,0,1
533,2462,1,0,1
534,1279,0,0,1
535,2291,0,0,1
536,1047,1,0,1
537,1094,0,0,0
538,1868,0,0,0
539,424,1,0,0
540,810,0,0,0
541,2562,0,1,1
542,1114,0,0,1
543,2245,1,0,1
544,2934,0,1,1
545,1051,0,1,1
546,2949,0,0,1
547,1081,1,0,1
548,2781,0,0,1
549,1197,1,0,1
550,1192,0,0,0
551,624,0,0,1
552,1391,0,0,1
553,2641,0,0,0
554,2290,0,0,1
555,1475,0,2,1
556,2565,1,0,0
557,2541,0,0,0
558,1089,0,1,1
559,1586,0,0,0
560,1546,0,1,1
561,2601,0,0,1
562,518,0,0,0
563,2433,0,0,1
564,1251,0,0,1
565,1804,0,0,0
566,708,0,0,0
567,407,1,0,0
568,1766,0,0,0
569,2994,0,0,1
570,1579,0,0,0
571,2489,1,0,1
572,1847,0,0,0
573,1991,1,1,1
574,2772,0,2,1
575,1720,0,0,1
576,2363,0,0,0
577,2215,0,0,1
578,1077,1,0,0
579,662,0,0,1
580,1478,0,0,1
581,2040,0,0,1
582,848,0,0,0
583,657,0,0,0
584,2386,0,2,1
585,1605,0,1,0
586,2788,0,0,1
587,1804,1,0,0
588,1278,0,0,0
589,1726,1,0,0
590,2790,0,0,1
591,1827,0,1,1
592,581,1,0,0
593,2706,0,0,1
594,2650,0,0,1
595,2349,0,0,1
596,1941,1,0,1
597,2483,2,0,1
598,1861,0,0,0
599,2304,1,1,1
600,1580,0,0,0
601,1917,0,0,1
602,1411,0,1,1
603,814,0,0,0
604,1338,1,0,0
605,631,0,0,1
606,916,0,1,0
607,2306,0,0,1
608,2706,1,0,1
609,740,1,1,0
610,466,0,1,0
611,2125,1,0,1
612,1017,0,0,1
613,1819,0,1,0
614,2222,1,0,1
615,2694,0,0,1
616,772,0,0,0
617,2657,1,0,1
618,2048,0,0,1
619,814,0,0,0
620,715,0,0,0
621,1533,1,0,1
622,957,0,0,0
623,789,0,0,0
624,1366,0,0,0
625,2104,0,0,0
626,2006,0,0,0
627,2041,0,1,1
628,1865,1,0,1
629,2334,1,1,1
630,1715,1,0,1
631,2013,0,0,1
632,581,0,0,0
633,2643,0,1,1
634,1167,0,0,0
635,579,0,0,0
636,1121,0,0,1
637,587,1,0,0
638,629,1,0,1
639,2906,0,2,1
640,1200,0,0,0
641,2459,0,1,1
642,2815,1,0,1
643,878,0,2,0
644,1727,0,0,1
645,2404,1,0,1
646,934,0,1,1
647,840,1,0,1
648,2239,0,1,1
649,844,1,0,0
650,1995,1,0,0
651,1301,0,1,1
652,715,0,0,0
653,917,0,0,0
654,1639,0,1,1
655,2984,0,0,1
656,2525,0,0,1
657,425,1,0,0
658,766,1,0,0
659,2080,0,0,1
660,2560,2,2,1
661,749,0,0,1
662,2975,0,0,1
663,935,0,0,0
664,1709,0,0,0
665,830,0,1,1
666,2460,2,0,1
667,2211,0,0,1
668,1697,0,0,1
669,1890,0,0,1
670,759,0,0,0
671,1617,0,1,1
672,1429,0,0,0
673,973,1,0,0
674,577,0,0,0
675,1709,0,2,1
676,2860,0,0,1
677,1051,0,0,1
678,1680,0,0,0
679,2147,0,1,1
680,808,0,0,0
681,678,0,2,0
682,1010,0,0,0
683,880,1,0,0
684,467,0,1,0
685,2679,1,0,1
686,658,1,0,0
687,1617,0,1,1
688,1354,0,0,0
689,2080,2,0,1
690,2830,1,1,1
691,1331,0,0,0
692,2491,1,0,1
693,2269,1,1,1
694,495,0,0,0
695,416,0,1,1
696,1864,1,0,1
697,835,0,0,0
698,1902,0,1,1
699,2704,1,0,1
700,2035,0,0,0
701,1884,0,0,1
702,1875,0,0,1
703,1022,1,0,0
704,692,2,0,0
705,805,0,1,1
706,1999,1,0,0
707,1738,1,0,1
708,1824,0,1,0
709,2897,0,0,1
710,2648,0,0,1
711,1755,0,0,0
712,1210,0,0,0
713,2326,0,1,1
714,1389,0,0,0
715,2116,0,0,1
716,2948,0,0,1
717,2622,0,1,1
718,1668,1,0,1
719,600,0,1,0
720,461,0,0,0
721,1104,0,1,0
722,2893,0,0,1
723,723,0,0,0
724,681,0,0,0
725,2909,0,0,0
726,1403,0,2,0
727,1995,0,0,1
728,1672,1,1,0
729,1847,2,0,1
730,1996,0,1,0
731,2698,0,0,1
732,2208,0,0,0
733,1583,1,0,1
734,1526,0,0,1
735,805,0,0,1
736,1731,0,0,0
737,2923,0,0,1
738,1866,1,0,0
739,2217,0,1,1
740,2717,0,1,1
741,1980,0,0,1
742,1996,0,1,1
743,2361,0,0,1
744,1171,0,0,0
745,2643,1,0,1
746,2270,0,1,1
747,1410,0,0,1
748,1546,0,2,1
749,481,2,0,0
750,1045,0,0,0
751,2361,0,1,1
752,2965,0,0,1
753,2125,0,0,1
754,738,2,0,0
755,2724,0,0,1
756,2855,1,0,1
757,540,0,0,0
758,1290,1,0,0
759,650,0,0,0
760,1881,0,2,1
761,1501,0,0,0
762,1576,0,0,0
763,1114,0,1,1
764,1125,0,0,0
765,2257,0,0,1
766,539,1,0,0
767,474,0,1,0
768,1818,0,0,1
769,1931,0,1,1
770,1738,0,0,1
771,2705,0,0,0
772,1895,0,0,1
773,1497,0,0,0
774,557,1,0,0
775,2940,0,0,1
776,1824,2,0,0
777,1016,0,0,0
778,1217,0,0,1
779,2396,1,0,1
780,2058,0,1,1
781,1557,0,1,1
782,897,0,0,0
783,2837,1,0,1
784,2932,0,0,0
785,1718,0,1,0
786,2800,1,0,1
787,1192,0,0,0
788,2256,0,1,1
789,2794,0,0,1
790,826,0,0,0
791,1871,0,1,1
792,2770,0,0,1
793,2754,0,0,1
794,1366,0,0,0
795,1271,1,1,1
796,1441,0,0,1
797,1280,0,0,1
798,2924,2,0,1
799,1798,0,0,1
800,558,0,0,0
801,1527,1,1,0
802,475,0,0,0
803,1177,0,0,0
804,1325,0,0,1
805,2858,0,0,1
806,1687,0,0,1
807,1032,0,1,0
808,2865,0,1,1
809,1375,0,0,0
810,1986,0,0,1
811,712,0,0,1
812,1843,0,0,1
813,1737,0,1,0
814,1417,1,0,0
815,1880,0,0,0
816,750,0,0,0
817,646,0,0,0
818,2253,0,0,1
819,2730,0,0,1
820,2950,0,0,1
821,1322,0,0,1
822,935,0,1,0
823,2341,0,1,1
824,1539,0,0,0
825,1492,0,0,1
826,1612,0,0,0
827,1627,0,0,1
828,914,0,0,0
829,1158,0,0,0
830,639,0,1,0
831,2292,1,0,1
832,589,0,0,0
833,1200,0,0,0
834,2557,0,0,1
835,1445,0,0,0
836,776,1,1,0
837,1979,0,0,1
838,2433,1,1,1
839,690,1,1,0
840,606,0,0,0
841,853,0,0,0
842,2343,0,1,1
843,1280,0,0,1
844,2346,0,0,1
845,815,1,1,1
846,2907,0,0,1
847,1678,0,0,1
848,825,0,0,1
849,717,0,0,1
850,1470,0,0,0
851,2255,0,1,0
852,1291,0,1,0
853,2674,0,0,1
854,1978,0,0,0
855,1343,1,0,1
856,2395,0,0,1
857,2791,0,1,1
858,1799,0,0,1
859,2827,0,0,1
860,515,1,1,0
861,2186,0,1,0
862,854,1,1,1
863,2478,0,0,1
864,1886,0,0,0
865,2947,0,0,1
866,2278,0,0,0
867,644,1,1,0
868,2952,0,2,1
869,2839,0,0,1
870,871,0,0,0
871,862,1,0,0
872,1925,1,1,1
873,1517,0,0,1
874,1823,0,0,0
875,1313,0,0,0
876,2324,1,0,0
877,1822,0,0,0
878,1122,0,0,0
879,2441,0,0,1
880,2572,0,1,1
881,1534,0,0,0
882,1222,0,0,0
883,2037,0,1,1
884,585,1,0,0
885,1732,0,0,0
886,2949,0,0,1
887,2444,0,0,1
888,1299,0,0,0
889,1759,0,0,1
890,1053,0,0,1
891,2845,0,0,1
892,1411,0,0,0
893,1569,0,0,0
894,2750,1,1,1
895,1548,0,2,0
896,1988,1,0,1
897,1782,0,1,0
898,659,0,0,0
899,532,0,1,0
900,1621,1,0,0
901,1328,0,0,0
902,2860,0,0,1
903,2266,0,0,1
904,2901,0,0,1
905,1363,0,1,1
906,2553,0,0,1
907,1825,0,1,0
908,1246,0,0,0
909,1287,0,1,1
910,1372,1,0,0
911,2393,0,0,1
912,697,0,0,0
913,1765,0,0,1
914,1816,0,2,0
915,2194,1,0,1
916,942,0,1,0
917,1443,0,0,1
918,1705,0,0,0
919,1175,0,0,0
920,2399,0,0,1
921,1246,0,1,1
922,1874,0,0,1
923,892,1,0,0
924,1723,0,0,0
925,2231,1,0,0
926,2718,0,0,1
927,787,2,0,1
928,2115,0,0,1
929,785,0,0,1
930,2832,0,0,0
931,2239,1,1,1
932,942,0,0,0
933,2000,0,2,0
934,1004,0,0,1
935,1065,0,0,0
936,1653,0,1,0
937,1992,0,0,0
938,594,1,1,1
939,785,0,2,0
940,2464,0,0,1
941,647,0,0,0
942,1706,0,2,1
943,1272,0,0,0
944,1496,0,0,1
945,911,0,0,0
946,1743,0,0,0
947,2546,1,0,1
948,2753,0,0,1
949,1713,0,0,1
950,1592,0,1,1
951,1436,2,0,1
952,1517,0,0,0
953,1669,0,0,0
954,1761,1,1,1
955,1310,0,0,0
956,1540,1,1,0
957,1691,1,0,1
958,1023,0,0,1
959,2291,0,0,1
960,2636,0,0,1
961,2241,0,0,1
962,2156,0,0,1
963,2414,0,0,1
964,1529,1,1,1
965,723,0,0,0
966,2737,1,0,1
967,2069,0,0,0
968,1758,0,1,0
969,1391,0,0,0
970,2136,2,0,0
971,889,0,0,0
972,2679,0,1,1
973,1616,0,0,0
974,2675,0,0,1
975,981,0,0,0
976,2855,0,0,1
977,1178,0,1,0
978,2298,1,1,1
979,903,0,0,0
980,491,0,0,0
981,2753,0,0,0
982,711,0,0,0
983,2356,1,0,1
984,739,0,0,0
985,2627,0,0,1
986,551,0,0,0
987,655,0,0,1
988,1403,0,2,1
989,2790,0,1,1
990,1287,0,1,0
991,2679,0,0,1
992,559,0,1,0
993,1198,1,0,0
994,625,1,0,1
995,2300,0,0,1
996,1002,0,0,0
997,1965,0,1,1
998,2034,0,0,1
999,2945,0,1,1
1000,459,0,0,0
1001,1989,0,0,1
1002,996,1,0,0
1003,774,1,0,0
1004,1007,0,0,0
1005,833,1,0,1
1006,2821,1,0,1
1007,605,1,0,0
1008,1843,0,0,1
1009,1399,0,0,1
1010,1920,0,0,0
1011,2406,0,2,1
1012,2009,0,0,1
1013,1539,0,0,0
1014,1392,0,1,1
1015,2719,0,0,1
1016,1452,0,0,1
1017,923,0,0,1
1018,599,0,1,0
1019,1458,0,1,1
1020,2421,0,0,1
1021,1667,0,0,1
1022,402,1,0,0
1023,547,0,0,0
1024,2677,0,0,1
1025,1362,0,0,0
1026,1146,0,0,0
1027,2475,0,1,1
1028,480,0,0,0
1029,1164,0,0,1
1030,2699,0,0,1
1031,2957,0,0,1
1032,1012,0,0,1
1033,2816,0,0,1
1034,2792,0,0,1
1035,2657,0,0,1
1036,1806,0,0,0
1037,2454,0,0,1
1038,1066,0,0,0
1039,963,0,0,0
1040,1465,1,0,0
1041,2486,0,0,1
1042,644,0,0,0
1043,1155,0,1,1
1044,1096,0,0,0
1045,1025,0,1,0
1046,2403,0,0,1
1047,455,0,0,1
1048,1796,0,0,0
1049,980,0,0,0
1050,1686,1,0,1
1051,545,1,1,0
1052,710,0,0,0
1053,1692,0,0,1
1054,1278,0,0,0
1055,2983,0,0,1
1056,1763,0,0,1
1057,795,0,0,0
1058,2657,0,0,1
1059,2145,0,0,1
1060,457,1,1,0
1061,988,1,1,0
1062,1178,0,0,0
1063,456,0,0,0
1064,780,0,0,0
1065,1525,0,1,1
1066,2119,0,0,1
1067,2857,0,0,1
1068,1790,1,0,1
1069,1503,0,0,1
1070,2358,0,0,0
1071,419,0,0,0
1072,928,0,0,1
1073,1993,0,0,0
1074,2331,0,0,0
1075,1510,0,0,0
1076,987,0,0,0
1077,2257,0,1,1
1078,2463,1,0,1
1079,2597,0,1,1
1080,1500,1,1,1
1081,1398,1,0,1
1082,1858,0,0,1
1083,1329,0,0,1
1084,537,2,2,0
1085,1592,0,0,1
1086,2674,0,0,1
1087,1195,1,0,0
1088,1895,0,2,1
1089,1527,0,0,1
1090,1623,1,0,1
1091,536,0,0,0
1092,1756,0,1,0
1093,1996,0,0,1
1094,917,2,0,1
1095,775,0,0,0
1096,409,1,0,1
1097,1824,0,0,1
1098,1883,0,0,1
1099,708,0,0,0
1100,937,0,0,1
1101,1262,1,0,0
1102,1244,0,0,0
1103,2290,0,0,1
1104,1963,0,0,1
1105,1102,0,0,0
1106,726,0,0,1
1107,2393,1,0,1
1108,2975,0,0,1
1109,1286,0,0,1
1110,453,1,0,1
1111,1509,1,0,0
1112,2666,0,0,1
1113,2913,0,1,1
1114,2677,1,0,1
1115,722,0,0,0
1116,926,0,0,0
1117,2259,0,0,1
1118,2637,0,0,1
1119,424,0,0,1
1120,2332,0,0,1
1121,541,0,0,0
1122,751,0,0,0
1123,768,1,1,0
1124,1424,0,0,0
1125,2419,0,1,1
1126,2668,1,0,1
1127,1473,2,0,1
1128,2873,0,2,1
1129,2484,0,0,1
1130,1186,0,0,1
1131,2762,0,0,1
1132,2979,1,0,1
1133,495,1,0,0
1134,784,0,0,0
1135,1065,1,1,1
1136,2652,0,0,1
1137,2209,0,0,1
1138,790,0,1,0
1139,806,0,0,0
1140,2642,0,0,1
1141,1752,0,0,0
1142,2328,0,0,1
1143,2567,1,0,1
1144,559,0,0,0
1145,1852,0,0,0
1146,1806,1,0,1
1147,1824,0,0,0
1148,2089,1,0,1
1149,1837,0,0,1
1150,1093,1,0,1
1151,775,1,0,1
1152,2658,0,0,0
1153,1457,1,0,0
1154,956,1,0,0
1155,1604,0,0,0
1156,1319,0,0,0
1157,2445,1,1,1
1158,833,0,0,0
1159,1372,1,1,1
1160,2194,2,0,1
1161,1474,1,0,1
1162,2787,0,0,1
1163,629,0,0,0
1164,2545,0,0,1
1165,1108,0,1,0
1166,623,0,0,0
1167,2521,0,0,1
1168,1825,1,1,1
1169,858,1,0,0
1170,2532,0,0,1
1171,2978,0,0,1
1172,2472,0,0,1
1173,2121,1,0,1
1174,764,1,1,0
1175,2952,0,0,1
1176,1413,0,1,0
1177,700,0,1,0
1178,2004,0,1,1
1179,2272,0,0,0
1180,707,0,0,0
1181,2379,0,0,1
1182,1375,0,1,1
1183,1082,0,0,1
1184,2057,0,0,1
1185,1487,0,0,0
1186,1119,0,0,0
1187,2180,1,1,1
1188,1493,0,0,1
1189,1874,2,0,1
1190,1523,0,0,0
1191,1167,0,0,0
1192,895,0,0,0
1193,1127,0,0,1
1194,2588,0,0,1
1195,1234,0,0,1
1196,1589,0,0,0
1197,1708,0,0,1
1198,651,0,0,0
1199,2021,0,1,1
1200,2483,1,0,1
1201,2650,1,0,1
1202,1068,0,2,0
1203,1437,0,0,1
1204,2546,0,0,1
1205,2391,1,0,1
1206,2464,0,0,1
1207,2795,0,0,1
1208,754,1,0,0
1209,1230,0,1,1
1210,903,0,0,1
1211,2157,0,0,0
1212,2329,0,0,1
1213,1217,0,0,0
1214,965,0,0,0
1215,1095,0,0,0
1216,2570,0,0,1
1217,421,0,0,0
1218,418,0,0,0
1219,2084,0,1,1
1220,976,0,0,0
1221,1012,0,0,0
1222,1897,0,0,0
1223,2847,0,0,1
1224,593,0,0,0
1225,1060,0,1,0
1226,2764,0,1,1
1227,1685,0,1,0
1228,743,1,1,0
1229,2504,0,0,1
1230,659,0,0,0
1231,441,0,1,0
1232,2410,0,0,1
1233,2845,0,0,1
1234,2139,1,0,1
1235,2988,0,0,1
1236,1547,1,0,1
1237,744,0,1,0
1238,2254,0,0,0
1239,2659,0,1,1
1240,931,0,0,1
1241,1074,1,0,0
1242,1923,0,0,1
1243,994,0,0,0
1244,921,0,0,1
1245,1378,0,0,1
1246,1570,1,1,1
1247,1378,0,1,0
1248,2256,0,0,1
1249,1923,0,0,1
1250,866,0,0,0
1251,750,0,1,1
1252,1685,0,0,1
1253,1268,0,1,0
1254,1603,0,0,0
1255,2599,0,0,0
1256,2679,0,0,1
1257,420,0,1,1
1258,1805,0,1,1
1259,2050,2,0,1
1260,1357,2,2,1
1261,407,2,2,0
1262,2653,0,0,1
1263,2790,1,0,0
1264,1245,1,0,0
1265,2726,2,2,1
1266,1662,0,0,1
1267,1610,2,2,1
1268,1492,0,0,1
1269,2110,0,1,1
1270,2516,1,0,1
1271,2909,0,0,1
1272,557,1,0,0
1273,2919,0,0,1
